bundle,family,stage,model,bin,n_bin_predictions,sample_index_min,sample_index_max,source_file,state_0_occupancy,state_1_occupancy,mean_confidence,mean_entropy_bits,switch_rate
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,3,18600,17400,184799,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9998924731182796,0.00010752688172043011,0.5052274589288619,0.9999124949797316,0.0002150653260928007
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,4,18600,2400,185999,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9986559139784946,0.0013440860215053765,0.503563948286477,0.9999569661049579,0.0020431205978816065
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,5,18600,3600,51599,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9993548387096775,0.0006451612903225806,0.5037129114039482,0.9999545617381627,0.0006451959782784021
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,6,18600,6000,68999,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9996236559139785,0.0003763440860215054,0.5038285609246582,0.9999516170719993,0.0006451959782784021
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,7,18600,7200,85199,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9991397849462366,0.0008602150537634409,0.5038777744577777,0.9999504109470624,0.0011828592935104038
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,8,18600,9600,102599,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9998924731182796,0.00010752688172043011,0.5041893122625607,0.9999424640573776,0.0002150653260928007
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,9,18600,10800,119999,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9998387096774194,0.00016129032258064516,0.5043205022427344,0.9999392936607574,0.00032259798913920104
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,0,18600,0,133799,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.5384946236559139,0.461505376344086,0.606618896242111,0.947480119219578,0.07231571589870422
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,1,18600,14400,151199,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.676505376344086,0.32349462365591397,0.5878954511336101,0.9612545173902876,0.09731706005699231
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,2,18600,15600,167999,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.5472043010752689,0.4527956989247312,0.5920785829520995,0.9624688258813002,0.0629603742136674
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,3,18600,17400,184799,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.48016129032258065,0.5198387096774194,0.5839165240141653,0.9692548157517955,0.063390504865853
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,4,18600,2400,185999,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.19182795698924732,0.8081720430107527,0.6211271672287295,0.940604510540837,0.04715307274584655
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,5,18600,3600,51599,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.26704301075268816,0.7329569892473118,0.5972225494506539,0.961555733887267,0.05236840690359697
