bundle,family,stage,model,source_file,resample_unit,n_predictions,state,metric,n_blocks,bootstrap_replicates,ci_low_2p5,bootstrap_median,ci_high_97p5,bootstrap_mean,bootstrap_std,block_min,block_max
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,sequence_id,18600,0,median_dwell_windows,352,200,8.235475852272728,9.387073863636363,10.629936079545454,9.392620738636362,0.6032961737982784,1.0,30.0
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,sequence_id,18600,0,p90_dwell_windows,352,200,10.305454545454545,11.345028409090911,12.510376420454545,11.361490056818182,0.5732330301932494,1.0,30.0
pipeline,x_loop,05_dmm,dmm,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,contiguous_blocks,186000,1,mean_dwell_windows,91,200,2035.868131868132,2043.956043956044,2048.0,2044.057142857143,3.8553974893038303,1680.0,2048.0
pipeline,x_loop,05_dmm,dmm,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,contiguous_blocks,186000,1,median_dwell_windows,91,200,2035.7670329670332,2043.956043956044,2048.0,2044.2189010989011,3.9944241408300245,1680.0,2048.0
pipeline,x_loop,05_dmm,dmm,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,contiguous_blocks,186000,1,p90_dwell_windows,91,200,2035.868131868132,2043.956043956044,2048.0,2044.0975824175825,3.9384843171244808,1680.0,2048.0
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,contiguous_blocks,15015,0,mean_dwell_windows,8,200,3.0533079756253154,5.415158765427391,8.94139545720167,5.521267897644216,1.651404884394017,2.511247443762781,14.483870967741936
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,contiguous_blocks,15015,0,median_dwell_windows,8,200,2.0,3.375,5.128125000000001,3.35125,0.8149619638440574,2.0,7.0
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,contiguous_blocks,15015,0,p90_dwell_windows,8,200,6.871875,12.125,18.5,12.259375,3.2369989644506023,5.0,31.0
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,contiguous_blocks,15015,1,mean_dwell_windows,8,200,2.0054277036760775,3.4679449882245112,5.260623060120481,3.5219737814175263,0.8485191243689562,1.5801217038539555,7.419354838709677
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,contiguous_blocks,15015,1,median_dwell_windows,8,200,1.25,2.5,4.006250000000001,2.46375,0.7758920542830023,1.0,7.0
