bundle,family,stage,model,source_file,bin_index,bin_axis,bin_start,bin_end,n_predictions,state_0_occupancy,state_1_occupancy,switch_count,switch_rate,mean_confidence,median_confidence,mean_entropy_bits,n_sequences
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,8,sample_index,280632.8,315702.89999999997,3554,1.0,0.0,0,0.0,,,,1777.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,9,sample_index,315702.89999999997,350773.0,3508,1.0,0.0,0,0.0,,,,1754.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,10,sample_index,350773.0,385843.1,3606,1.0,0.0,0,0.0,,,,1803.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,11,sample_index,385843.1,420913.19999999995,3508,1.0,0.0,0,0.0,,,,1754.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,12,sample_index,420913.19999999995,455983.3,3598,1.0,0.0,0,0.0,,,,1799.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,13,sample_index,455983.3,491053.39999999997,3554,1.0,0.0,0,0.0,,,,1777.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,14,sample_index,491053.39999999997,526123.5,3587,1.0,0.0,0,0.0,,,,2613.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,15,sample_index,526123.5,561193.6,3510,1.0,0.0,0,0.0,,,,3510.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,16,sample_index,561193.6,596263.7,3443,1.0,0.0,0,0.0,,,,3443.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,17,sample_index,596263.7,631333.7999999999,3486,1.0,0.0,0,0.0,,,,3486.0
